number,iface,label,message,avp_path
1,s6a,ATTACK,Insert-Subscriber-Data-Request,Subscription-Data.HPLMN-ODB
2,s6a,ATTACK,Insert-Subscriber-Data-Request,Subscription-Data.AMBR.Max-Requested-Bandwidth-DL
3,s6a,ATTACK,Insert-Subscriber-Data-Request,Subscription-Data.Regional-Subscription-Zone-Code
4,s6a,ATTACK,Insert-Subscriber-Data-Request,Subscription-Data.APN-Configuration-Profile.APN-Configuration.MIP6-Agent-Info.MIP-Home-Agent-Address 
5,s6a,ATTACK,Insert-Subscriber-Data-Request,Subscription-Data.APN-Configuration-Profile.APN-Configuration.PDN-Type
6,s6a,ATTACK,Cancel-Location-Request,Cancellation-Type.SUBSCRIPTION_WITHDRAWAL
7,s6a,ATTACK,Delete-Subscriber-Data-Request,DSR-Flags
8,s6a,ATTACK,Delete-Subscriber-Data-Request,Context-Identifier(non-default)
9,s6a,ATTACK,Update-Location-Request,ULR-Flags.Initial-Attach-Indicator
10,s6a,ATTACK,Purge-UE-Request,User-Name
11,s6a,SAFE,Authentication-Information-Request,AIR-Flags
12,s6a,SAFE,Reset-Request,Subscription-Data.3GPP-Charging-Characteristics
13,s6a,SAFE,Insert-Subscriber-Data-Request,Supported-Features.Feature-List-ID
14,s6a,SAFE,Notify-Request,Service-Selection
15,s6a,SAFE,Purge-UE-Request,EPS-Location-Information.MME-Location-Information.Geographical-Information
16,s6a,SAFE,Update-Location-Request,Coupled-Node-Diameter-ID
17,s6a,SAFE,Delete-Subscriber-Data-Request,Supported-Features.Feature-List
18,s6a,SAFE,Update-Location-Request,Terminal-Information.Software-Version
19,s6a,SAFE,Notify-Request,Terminal-Information.IMEI
20,s6a,SAFE,Cancel-Location-Request,CLR-Flags.S6aS6d-Indicator
21,cx,ATTACK,Push-Profile-Request,3GPP-SIP-Auth-Data-Item.3GPP-SIP-Auth-Data-Item
22,cx,ATTACK,Push-Profile-Request,Cx-User-Data
23,cx,ATTACK,Push-Profile-Request,Charging-Information
24,cx,ATTACK,Registration-Termination-Request,Deregistration-Reason.Reason-Code
25,cx,ATTACK,Registration-Termination-Request,Public-Identity
26,cx,ATTACK,Registration-Termination-Request,Associated-Identities.User-Name
27,cx,ATTACK,Server-Assignment-Request,Server-Assignment-Type
28,cx,ATTACK,Server-Assignment-Request,SCSCF-Restoration-Info.Restoration-Info
29,cx,ATTACK,Server-Assignment-Request,Server-Name
30,cx,ATTACK,Server-Assignment-Request,SCSCF-Restoration-Info.User-Name
31,cx,SAFE,Location-Info-Request,Session-Priority
32,cx,SAFE,Multimedia-Auth-Request,3GPP-SIP-Auth-Data-Item.SIP-Authentication-Context
33,cx,SAFE,User-Authorization-Request,Visited-Network-Identifier
34,cx,SAFE,Server-Assignment-Request,Supported-Features.Feature-List-ID
35,cx,SAFE,Server-Assignment-Request,Session-Priority
36,cx,SAFE,Location-Info-Request,Originating-Request
37,cx,SAFE,User-Authorization-Request,User-Authorization-Type
38,cx,SAFE,User-Authorization-Request,Public-Identity
39,cx,SAFE,Multimedia-Auth-Request,OC-Supported-Features
40,cx,SAFE,Location-Info-Request,Supported-Features.Vendor-Id
